"filename", "language", "YAML", "JSON", "JavaScript", "TypeScript", "Markdown", "JSON with Comments", "TypeScript JSX", "PostCSS", "XML", "HTML", "MS SQL", "Prisma", "Docker", "comment", "blank", "total"
"c:\Users\user\Desktop\项目：简历到offer\resume-to-offer\.lintstagedrc.js", "JavaScript", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 2, 10
"c:\Users\user\Desktop\项目：简历到offer\resume-to-offer\ai辅助开发_prompt模板\将一个MCP client从原生node转为nest.md", "Markdown", 0, 0, 0, 0, 2121, 0, 0, 0, 0, 0, 0, 0, 0, 0, 463, 2584
"c:\Users\user\Desktop\项目：简历到offer\resume-to-offer\ai辅助开发_prompt模板\开发MCP_client.md", "Markdown", 0, 0, 0, 0, 1016, 0, 0, 0, 0, 0, 0, 0, 0, 0, 270, 1286
"c:\Users\user\Desktop\项目：简历到offer\resume-to-offer\ai辅助开发_prompt模板\开发MCP_server.md", "Markdown", 0, 0, 0, 0, 2484, 0, 0, 0, 0, 0, 0, 0, 0, 0, 679, 3163
"c:\Users\user\Desktop\项目：简历到offer\resume-to-offer\ai辅助开发_prompt模板\生成prompt\general_resume\project-frontend.md", "Markdown", 0, 0, 0, 0, 111, 0, 0, 0, 0, 0, 0, 0, 0, 0, 57, 168
"c:\Users\user\Desktop\项目：简历到offer\resume-to-offer\ai辅助开发_prompt模板\生成prompt\general_resume\project_general.md", "Markdown", 0, 0, 0, 0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 43, 90
"c:\Users\user\Desktop\项目：简历到offer\resume-to-offer\commitlint.config.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\user\Desktop\项目：简历到offer\resume-to-offer\compose.cloud.yaml", "YAML", 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 1, 72
"c:\Users\user\Desktop\项目：简历到offer\resume-to-offer\compose.yaml", "YAML", 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 1, 56
"c:\Users\user\Desktop\项目：简历到offer\resume-to-offer\eslint.config.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 3
"c:\Users\user\Desktop\项目：简历到offer\resume-to-offer\lerna.json", "JSON", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"c:\Users\user\Desktop\项目：简历到offer\resume-to-offer\package.json", "JSON", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 15
"c:\Users\user\Desktop\项目：简历到offer\resume-to-offer\packages\backend\.lintstagedrc.js", "JavaScript", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\user\Desktop\项目：简历到offer\resume-to-offer\packages\backend\.prettierrc", "JSON", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4
"c:\Users\user\Desktop\项目：简历到offer\resume-to-offer\packages\backend\Dockerfile", "Docker", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 22, 22, 74
"c:\Users\user\Desktop\项目：简历到offer\resume-to-offer\packages\backend\README.md", "Markdown", 0, 0, 0, 0, 69, 0, 0, 0, 0, 0, 0, 0, 0, 2, 29, 100
"c:\Users\user\Desktop\项目：简历到offer\resume-to-offer\packages\backend\ai_prompts.md", "Markdown", 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 15
"c:\Users\user\Desktop\项目：简历到offer\resume-to-offer\packages\backend\chat_history_data\2025-5-16.json", "JSON", 0, 74, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 74
"c:\Users\user\Desktop\项目：简历到offer\resume-to-offer\packages\backend\chat_history_data\2025-5-19.json", "JSON", 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20
"c:\Users\user\Desktop\项目：简历到offer\resume-to-offer\packages\backend\data\prompt\project_frontend\mine-T.md", "Markdown", 0, 0, 0, 0, 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 97
"c:\Users\user\Desktop\项目：简历到offer\resume-to-offer\packages\backend\data\prompt\project_frontend\mine-fewshot.md", "Markdown", 0, 0, 0, 0, 159, 0, 0, 0, 0, 0, 0, 0, 0, 0, 72, 231
"c:\Users\user\Desktop\项目：简历到offer\resume-to-offer\packages\backend\data\prompt\project_frontend\polish-T.md", "Markdown", 0, 0, 0, 0, 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 87
"c:\Users\user\Desktop\项目：简历到offer\resume-to-offer\packages\backend\data\prompt\project_frontend_old\project-T.md", "Markdown", 0, 0, 0, 0, 69, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 99
"c:\Users\user\Desktop\项目：简历到offer\resume-to-offer\packages\backend\data\prompt\project_frontend_old\project-fewshot.md", "Markdown", 0, 0, 0, 0, 161, 0, 0, 0, 0, 0, 0, 0, 0, 0, 72, 233
"c:\Users\user\Desktop\项目：简历到offer\resume-to-offer\packages\backend\eslint.config.js", "JavaScript", 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 35
"c:\Users\user\Desktop\项目：简历到offer\resume-to-offer\packages\backend\generated\docs\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 7969, 0, 0, 0, 0, 1245, 9214
"c:\Users\user\Desktop\项目：简历到offer\resume-to-offer\packages\backend\generated\docs\styles\main.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\user\Desktop\项目：简历到offer\resume-to-offer\packages\backend\mcp-servers.json", "JSON", 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16
"c:\Users\user\Desktop\项目：简历到offer\resume-to-offer\packages\backend\nest-cli.json", "JSON", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9
"c:\Users\user\Desktop\项目：简历到offer\resume-to-offer\packages\backend\package.json", "JSON", 0, 104, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 105
"c:\Users\user\Desktop\项目：简历到offer\resume-to-offer\packages\backend\prisma\migrations\20250513140309_init\migration.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 2, 4, 28
"c:\Users\user\Desktop\项目：简历到offer\resume-to-offer\packages\backend\prisma\schema.prisma", "Prisma", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 0, 6, 5, 42
"c:\Users\user\Desktop\项目：简历到offer\resume-to-offer\packages\backend\project.entity.ts", "TypeScript", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 10
